education_uri,education_label,count
http://www.wikidata.org/entity/Q829449,Marie and Louis Pasteur University,5
http://www.wikidata.org/entity/Q499451,Rutgers University,5
http://www.wikidata.org/entity/Q3064277,Paris Medical Faculty,5
http://www.wikidata.org/entity/Q842909,Rice University,5
http://www.wikidata.org/entity/Q1426464,Phillips Exeter Academy,5
http://www.wikidata.org/entity/Q49204,Smith College,5
http://www.wikidata.org/entity/Q1640726,National Technical University of Athens,5
http://www.wikidata.org/entity/Q877925,Queen's University Belfast,5
http://www.wikidata.org/entity/Q49212,Texas A&M University,5
http://www.wikidata.org/entity/Q4314700,Nakhchivan State University,5
http://www.wikidata.org/entity/Q214654,Sorbonne,5
http://www.wikidata.org/entity/Q578023,University of Toulouse (1896-1968),5
http://www.wikidata.org/entity/Q1048898,University of Vermont,5
http://www.wikidata.org/entity/Q593321,University of Genoa,5
http://www.wikidata.org/entity/Q591115,University of Haifa,5
http://www.wikidata.org/entity/Q743615,University of Tsukuba,5
http://www.wikidata.org/entity/Q579968,University of Missouri,5
http://www.wikidata.org/entity/Q158158,TU Dresden,5
http://www.wikidata.org/entity/Q216273,University of St Andrews,5
http://www.wikidata.org/entity/Q1360303,University of Kentucky,5
http://www.wikidata.org/entity/Q4469637,Uzhhorod National University,5
http://www.wikidata.org/entity/Q129421,"University of California, Davis",5
http://www.wikidata.org/entity/Q866012,University of Queensland,5
http://www.wikidata.org/entity/Q651233,University of Osaka,5
http://www.wikidata.org/entity/Q1187444,University of Pécs,5
http://www.wikidata.org/entity/Q1185955,"University of Nevada, Reno",5
http://www.wikidata.org/entity/Q1282917,University of Belgrade Faculty of Philosophy,5
http://www.wikidata.org/entity/Q734010,University of Cordoba,5
http://www.wikidata.org/entity/Q2303432,University of Oviedo,5
http://www.wikidata.org/entity/Q1278808,Eberhard-Ludwigs-Gymnasium,4
http://www.wikidata.org/entity/Q906235,Bashkir State University,4
http://www.wikidata.org/entity/Q677579,Christ's Hospital,4
http://www.wikidata.org/entity/Q168751,Duke University,4
http://www.wikidata.org/entity/Q1470431,Catholic University of Paris,4
http://www.wikidata.org/entity/Q467269,Cheltenham College,4
http://www.wikidata.org/entity/Q51984,Bauakademie,4
http://www.wikidata.org/entity/Q2962242,Cheltenham Ladies' College,4
http://www.wikidata.org/entity/Q610999,Dragon School,4
http://www.wikidata.org/entity/Q4968912,Bristol Grammar School,4
http://www.wikidata.org/entity/Q4879170,Bedford Modern School,4
http://www.wikidata.org/entity/Q102398119,Deutsche wissenschaftliche Prüfungs-kommission für das Lehramt an Mittelschulen in Prag,4
http://www.wikidata.org/entity/Q229022,Catholic University of the Sacred Heart,4
http://www.wikidata.org/entity/Q760967,Clare College,4
http://www.wikidata.org/entity/Q1093910,City College of New York,4
http://www.wikidata.org/entity/Q797892,Emmanuel College,4
http://www.wikidata.org/entity/Q1073828,Chinese Academy of Social Sciences,4
http://www.wikidata.org/entity/Q61640793,Faculty of History of the Hrodna State University,4
http://www.wikidata.org/entity/Q12281905,Faculty of History of the Sofia University,4
http://www.wikidata.org/entity/Q2723670,Ain Shams University,4
