"archaeologist","gender","birthDate","archaeologistLabel","genderLabel"
"http://www.wikidata.org/entity/Q103915870","http://www.wikidata.org/entity/Q6581072","1959","Maria Elisa Micheli","female"
"http://www.wikidata.org/entity/Q10391750","http://www.wikidata.org/entity/Q6581072","1907","Virgínia Rau","female"
"http://www.wikidata.org/entity/Q10392745","http://www.wikidata.org/entity/Q6581097","1948","Vítor Oliveira Jorge","male"
"http://www.wikidata.org/entity/Q103947924","http://www.wikidata.org/entity/Q6581072","1960","Mertxe Urteaga","female"
"http://www.wikidata.org/entity/Q103950531","http://www.wikidata.org/entity/Q6581097","1807","François Boulanger","male"
"http://www.wikidata.org/entity/Q103972619","http://www.wikidata.org/entity/Q6581072","1943","Marina Cristofani Martelli","female"
"http://www.wikidata.org/entity/Q103980179","http://www.wikidata.org/entity/Q6581097","1917","Шилов, Валентин Павлович","male"
"http://www.wikidata.org/entity/Q103983023","http://www.wikidata.org/entity/Q6581097","1951","Jean-François Garnier","male"
"http://www.wikidata.org/entity/Q1039916","http://www.wikidata.org/entity/Q6581097","1821","Carl Nipperdey","male"
"http://www.wikidata.org/entity/Q1040101","http://www.wikidata.org/entity/Q6581097","1897","Ivan Borkovský","male"
"http://www.wikidata.org/entity/Q104010622","http://www.wikidata.org/entity/Q6581097","1982","François Desset","male"
"http://www.wikidata.org/entity/Q1040129","http://www.wikidata.org/entity/Q6581097","1859","Carl Rademacher","male"
"http://www.wikidata.org/entity/Q104023472","http://www.wikidata.org/entity/Q6581097","1958","Юдин Александр Иванович","male"
"http://www.wikidata.org/entity/Q104028846","http://www.wikidata.org/entity/Q6581097","1874","Fritz Toebelmann","male"
"http://www.wikidata.org/entity/Q104034830","http://www.wikidata.org/entity/Q6581097","1938","Mirjo Salvini","male"
"http://www.wikidata.org/entity/Q104034895","http://www.wikidata.org/entity/Q6581072","1949","Béatrice André-Salvini","female"
"http://www.wikidata.org/entity/Q1040351","http://www.wikidata.org/entity/Q6581097","1956","Carl S. Ehrlich","male"
"http://www.wikidata.org/entity/Q1040466","http://www.wikidata.org/entity/Q6581097","1868","Carl Schmidt","male"
"http://www.wikidata.org/entity/Q104056968","http://www.wikidata.org/entity/Q6581072","1958","Carolyn Boyd","female"
"http://www.wikidata.org/entity/Q104086747","http://www.wikidata.org/entity/Q6581097","1929","Florian Anastasiu","male"
"http://www.wikidata.org/entity/Q104089446","http://www.wikidata.org/entity/Q6581072","1959","Maria Teresa Natale","female"
"http://www.wikidata.org/entity/Q104094300","http://www.wikidata.org/entity/Q6581097","1929","Jean Des Gagniers","male"
"http://www.wikidata.org/entity/Q1040986","http://www.wikidata.org/entity/Q6581097","1885","Carl Weickert","male"
"http://www.wikidata.org/entity/Q104114186","http://www.wikidata.org/entity/Q6581097","1851","Julien Feuvrier","male"
"http://www.wikidata.org/entity/Q104120132","http://www.wikidata.org/entity/Q6581097","1918","John Spencer Purvis Bradford","male"
"http://www.wikidata.org/entity/Q104120220","http://www.wikidata.org/entity/Q6581097","1942","Lionel Bier","male"
"http://www.wikidata.org/entity/Q104120543","http://www.wikidata.org/entity/Q6581097","1963","Peter Ruggendorfer","male"
